cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,use_rows,clock_digital.started,direction_txt.started,key_resp.started,corr_var,key_resp.keys,key_resp.corr,trial_fixation.started,(iti duration),(stim duration),direction_txt.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,rest_txt.started,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
1,10,16,右下,1,1,5,0,5,0,0,3,3,8,,,,,,,,,,,,62,355.9467053,356.030058,356.030058,0,2,0,355.4459881,0.5007172,2.4860103,358.4327653,358.4327653,1.6023851,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,7,18,右下,1,1,5,0,5,0,0,4,4,7,,,,,,,,,,,,15,358.9501274,359.0335506,359.0335506,1,1,1,358.4494527,0.5006747,2.5027474,361.4362846,361.4362846,0.9019955,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,15,9,右下,0,2,5,0,5,0,0,5,5,6,,,,,,,,,,,,83,361.9537672,362.0370133,362.0370133,0,1,0,361.4529443,0.5008229,2.5028169,364.4396931,364.4396931,1.179529,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,10,29,左下,0,2,5,0,5,0,0,6,6,1,,,,,,,,,,,,61,364.9571884,365.0403097,365.0403097,1,2,1,364.4563883,0.5008001,2.5026211,367.4435258,367.4435258,1.4801776,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,15,22,左上,0,2,5,0,5,0,0,7,7,3,,,,,,,,,,,,1,367.9498024,368.0274037,368.0274037,1,2,1,367.4603274,0.489475,2.503139,370.4298079,370.4298079,1.6447226,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,13,32,左上,0,2,5,0,5,0,0,8,8,5,,,,,,,,,,,,10,370.9473836,371.0305576,371.0305576,1,2,1,370.4466383,0.5007453,2.4968359,373.4336282,373.4336282,2.2574631,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,13,20,右上,0,2,5,0,5,0,0,9,9,0,,,,,,,,,,,,31,373.9560447,374.0342858,374.0342858,1,2,1,373.4503202,0.5057245,2.5029366,376.4368849,376.4368849,1.6296141,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,0,-373.9560447,,,,,376.453607,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,13,31,左上,0,2,6,0,6,0,0,0,0,6,,,,,,,,,,,406.454992,77,408.957722,409.0411896,409.0411896,1,2,1,408.4878797,0.4698423,408.4878797,,,1.6154419,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,11,57,右上,0,2,6,0,6,0,0,1,1,5,,,,,,,,,,,,5,411.9471623,412.0277768,412.0277768,1,2,1,411.4440085,0.5031538,2.4862865,414.4306485,414.4306485,1.49178,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,11,49,右下,0,2,6,0,6,0,0,2,2,8,,,,,,,,,,,,29,414.9554193,415.0314655,415.0314655,1,2,1,414.4473916,0.5080277,2.5002293,417.4343604,417.4343604,1.2973314,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,14,14,右上,1,1,6,0,6,0,0,3,3,3,,,,,,,,,,,,37,417.9514836,418.0349395,418.0349395,1,1,1,417.4509771,0.5005065,2.4955578,420.4379838,420.4379838,1.1654373,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,13,12,左下,0,2,6,0,6,0,0,4,4,9,,,,,,,,,,,,30,420.9708655,421.0384218,421.0384218,1,2,1,420.4554794,0.5153861,2.5039958,423.44117,423.44117,1.009981,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,10,28,右下,1,1,6,0,6,0,0,5,5,7,,,,,,,,,,,,53,423.9635358,424.0418232,424.0418232,1,1,1,423.4577756,0.5057602,2.4869101,,,1.5827129,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,9,17,右下,1,1,6,0,6,0,0,6,6,4,,,,,,,,,,,,59,426.9450138,427.0285537,427.0285537,1,1,1,426.444369,0.5006448,2.4808332,429.4315129,429.4315129,1.3956072,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,11,58,右上,0,2,6,0,6,0,0,7,7,0,,,,,,,,,,,,11,429.9484663,430.0321839,430.0321839,1,2,1,429.4485707,0.4998956,2.5035569,432.4347263,432.4347263,1.2718904,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,8,26,右下,1,1,6,0,6,0,0,8,8,2,,,,,,,,,,,,55,432.952303,433.0355269,433.0355269,1,1,1,432.4514521,0.5008509,2.5029858,435.4383711,435.4383711,1.244397,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,8,25,右下,1,1,6,0,6,0,0,9,9,1,,,,,,,,,,,,57,435.955183,436.0389639,436.0389639,1,1,1,435.4549068,0.5002762,2.5026038,438.4420936,438.4420936,0.6730932,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,0,-435.955183,,,,,438.4588998,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,7,25,右下,1,1,7,0,7,0,0,0,0,7,,,,,,,,,,,468.4600525,88,470.9458735,471.0292865,471.0292865,1,1,1,470.4669274,0.4789461,470.4669274,473.4320056,473.4320056,1.3160507,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,15,52,左下,0,2,7,0,7,0,0,1,1,0,,,,,,,,,,,,89,473.9519106,474.0326834,474.0326834,1,2,1,473.4488093,0.5031013,2.5029358,476.4354724,476.4354724,1.5917162,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
